"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","998","Get master list without required fields","","Thu Nov 28 17:12:04 GMT 2024","passed","Thu Nov 28 17:12:05 GMT 2024","","Get Master list","Get master list without required fields",""
"","1133","Get call plan by rayon with invalid period","","Thu Nov 28 17:11:25 GMT 2024","passed","Thu Nov 28 17:11:26 GMT 2024","","Get Call Plan By Rayon","Get call plan by rayon with invalid period",""
"","999","Get Outlet with missing required field","","Thu Nov 28 17:12:16 GMT 2024","passed","Thu Nov 28 17:12:17 GMT 2024","","Get Outlet","Get Outlet with missing required field",""
"","1177","Successfully get outlet","","Thu Nov 28 17:12:10 GMT 2024","passed","Thu Nov 28 17:12:11 GMT 2024","","Get Outlet","Successfully get outlet",""
"","998","Get Existing Call Realization with missing required field","","Thu Nov 28 17:11:50 GMT 2024","passed","Thu Nov 28 17:11:51 GMT 2024","","Get Existing Call Realization","Get Existing Call Realization with missing required field",""
"","1155","Get Outlet with invalid value","","Thu Nov 28 17:12:12 GMT 2024","passed","Thu Nov 28 17:12:13 GMT 2024","","Get Outlet","Get Outlet with invalid value",""
"","1032","Save best time visit data with missing details","","Thu Nov 28 17:12:26 GMT 2024","passed","Thu Nov 28 17:12:27 GMT 2024","","Save Best Time Visit","Save best time visit data with missing details",""
"","2303","Successfully get master list data","","Thu Nov 28 17:11:59 GMT 2024","failed","Thu Nov 28 17:12:01 GMT 2024","","Get Master list","Successfully get master list data",""
"","1221","Create doctor leave with leave start date is greater than leave end date","","Thu Nov 28 17:10:56 GMT 2024","failed","Thu Nov 28 17:10:57 GMT 2024","","Create Doctor Leave","Create doctor leave with leave start date is greater than leave end date",""
"","1005","Get feedback question with invalid week number","","Thu Nov 28 17:11:57 GMT 2024","passed","Thu Nov 28 17:11:58 GMT 2024","","Get Feedback Question","Get feedback question with invalid week number",""
"","1101","Get master list with invalid rayon code","","Thu Nov 28 17:12:01 GMT 2024","passed","Thu Nov 28 17:12:02 GMT 2024","","Get Master list","Get master list with invalid rayon code",""
"","1089","Get Outlet with invalid value","","Thu Nov 28 17:12:13 GMT 2024","passed","Thu Nov 28 17:12:15 GMT 2024","","Get Outlet","Get Outlet with invalid value",""
"","1058","Get one year leave history with invalid value","","Thu Nov 28 17:12:09 GMT 2024","passed","Thu Nov 28 17:12:10 GMT 2024","","Get One Year Leave History","Get one year leave history with invalid value",""
"","1020","Get Existing Call Realization with missing required field","","Thu Nov 28 17:11:49 GMT 2024","passed","Thu Nov 28 17:11:50 GMT 2024","","Get Existing Call Realization","Get Existing Call Realization with missing required field",""
"","3446","Successfully create doctor leave data","","Thu Nov 28 17:10:41 GMT 2024","failed","Thu Nov 28 17:10:44 GMT 2024","","Create Doctor Leave","Successfully create doctor leave data",""
"","1249","Successfully save best time visit data","","Thu Nov 28 17:12:25 GMT 2024","passed","Thu Nov 28 17:12:26 GMT 2024","","Save Best Time Visit","Successfully save best time visit data",""
"","2027","Create doctor leave with overlapping leave period - Same leave period","","Thu Nov 28 17:10:49 GMT 2024","passed","Thu Nov 28 17:10:51 GMT 2024","","Create Doctor Leave","Create doctor leave with overlapping leave period - Same leave period",""
"","1024","Get Public Holiday with missing required field","","Thu Nov 28 17:12:22 GMT 2024","passed","Thu Nov 28 17:12:23 GMT 2024","","Get Public Holiday","Get Public Holiday with missing required field",""
"","1004","Get feedback question with invalid week number","","Thu Nov 28 17:11:53 GMT 2024","passed","Thu Nov 28 17:11:54 GMT 2024","","Get Feedback Question","Get feedback question with invalid week number",""
"","999","Get Public Holiday with missing required field","","Thu Nov 28 17:12:23 GMT 2024","passed","Thu Nov 28 17:12:24 GMT 2024","","Get Public Holiday","Get Public Holiday with missing required field",""
